timestamp,rocket-pool-eth_closeprice,the-graph_closeprice,algorand_closeprice,whitebit_closeprice,usdd_closeprice,blockstack_closeprice,immutable-x_closeprice,xdce-crowd-sale_closeprice,havven_closeprice,elrond-erd-2_closeprice,frax_closeprice,eos_closeprice,theta-token_closeprice,injective-protocol_closeprice,tezos_closeprice,the-sandbox_closeprice,bitget-token_closeprice,axie-infinity_closeprice,bitcoin-cash-sv_closeprice,radix_closeprice
2022-09-28,1383.8038011668405,0.09972403096873257,0.354013429918779,4.053502126672583,1.0014743056553341,0.331152127452328,0.7446958592260338,0.029282617143040042,2.2672535062120756,46.65357558427678,0.9982164479687715,1.1572836313931048,1.0911101011358695,1.7472184688969221,1.4491977356303458,0.8474310687163827,0.1922437822431626,12.388524401340751,49.83680341391052,0.059472072252112596
2022-09-29,1393.5307704663135,0.09916915593796287,0.35046332177212497,5.878442188368847,1.002628515948015,0.3270335814681587,0.7455086321277914,0.02936526469708778,2.4522292000288695,47.39117242559089,1.0027075257625355,1.1524890039774731,1.0972350600847274,1.7115545096305353,1.4413720336560738,0.8493568674837987,0.1931434538316591,12.555273710967967,49.95318694812596,0.060926915317286744
2022-09-30,1382.9068599780487,0.09930395603542931,0.3551475416157027,5.879988425023954,1.00386127734269,0.3280271016834833,0.7583966642092682,0.03107140333381679,2.423218111959549,47.83277329127359,0.9993426800852365,1.2064156639407382,1.0925167962406737,1.6806085750992086,1.438912403651638,0.8522284745583252,0.19216524515690128,12.749843596481274,49.45779453192521,0.060041633886708516
2022-10-01,1382.1094072890046,0.0989905821134674,0.35305423977176836,10.382280362132112,1.0015338091644381,0.3249981497116093,0.7582237531067193,0.031218440360815003,2.376606388960047,47.54532243582342,0.9995174925398529,1.1825549665756212,1.0755450744873125,1.7021216394189422,1.4242640267749744,0.8450266756677777,0.1881370222537336,12.583949384841981,49.02831394155846,0.060260197326297456
2022-10-02,1364.8800393322776,0.09802722189514973,0.3550942752621902,10.780270311435501,0.9998314431754676,0.32328199711654876,0.7590125189782164,0.03173710795362989,2.3162718027643345,47.942524981831255,0.9943874837854683,1.2208258351163332,1.0621294204098155,1.651653815902904,1.4170981808626602,0.8370970985633729,0.18485828089336093,12.58488832221418,48.33988698838707,0.06049297043332806
2022-10-03,1327.5029284787795,0.0949736351687594,0.3556648336101502,11.159412672285091,1.0010111017320915,0.3174747313734241,0.7449136635050533,0.031218461214209396,2.219176793071191,48.28866516635685,0.9975486502420828,1.160895092147014,1.0319611876702592,1.5691648086257335,1.3788391437995318,0.8149739802055866,0.18556511301605555,12.179458732065982,47.84646395798225,0.05996102619283707
2022-10-04,1377.63898128507,0.09825851175500065,0.35551678472646375,11.597536588796634,0.9997685369017847,0.3223148827745178,0.7692270178846862,0.03069803141914456,2.3031927756629935,52.07465342680597,0.9975073304972162,1.1897601768355854,1.0668924210848592,1.71963172072254,1.4433212308096852,0.832182023814054,0.18582890686517217,12.672653523937983,48.54498451467085,0.059853333718632926
2022-10-05,1417.740116265663,0.10121020499370742,0.3581013009823488,11.618336368345782,0.999557545028018,0.33050761983997684,0.799302212538936,0.03093391172718258,2.339932862040992,55.27288385616054,1.0009939420416252,1.2005310292993854,1.0836901158310994,1.8069439600856694,1.4597096804389436,0.8511980422962148,0.18600092349816355,13.013789334041183,49.189333449552564,0.0617566954060208
2022-10-06,1407.5931367615008,0.10045855051954146,0.35428936743705763,11.867350322035849,0.9987281449192682,0.3274939526499118,0.7867980631491407,0.02978619348797815,2.3282554904515815,54.32494854122208,0.996535712315321,1.1749156639360352,1.0893743234576934,1.9118475494639817,1.4299677258003078,0.8619294631324661,0.18351345419100598,12.762571435610475,49.48537401260982,0.0608297680891508
2022-10-07,1409.0007061197723,0.09963529734393538,0.34945130608028746,11.164322949516418,1.0008773535195143,0.3241475110244433,0.7601431694308257,0.031088349112870263,2.2553546922766583,55.376517716914016,1.0009630135744347,1.155585181085188,1.0754297535097994,1.8331696876629775,1.4310198754181314,0.8417897983259578,0.18230816797314245,12.687980167267877,48.61111563246334,0.06082385833829527
2022-10-08,1380.4001854908045,0.09755092324675696,0.33739580848508904,11.066579938306749,1.0022130180609519,0.3241330022525788,0.7379509594704536,0.03134125030994054,2.2431545710371164,54.79017034773129,1.0020808164662611,1.1353302395158564,1.0610741133812607,1.9354265426301684,1.4098857741693755,0.8325339874971183,0.18399980467300947,12.42613158369665,48.53359499222549,0.05928061092599532
2022-10-09,1371.3732192694931,0.09659491150117876,0.33479418190690746,11.029337995421686,1.000004561948304,0.3280344498604687,0.7281337836345039,0.032017014295364174,2.2136937472452396,53.88274677463192,0.9967325953964191,1.1092058868261907,1.0549704819262737,1.9967068452944485,1.4165545777387352,0.8296394001720504,0.18335000299108503,12.36790222637096,49.979329128016694,0.057946386809006184
2022-10-10,1375.6821899026193,0.09657995055002735,0.33954828649472174,11.086336697631456,1.000083748936823,0.33913913619135283,0.7327107336691623,0.03240116288204453,2.2507386769229494,56.884674772971415,0.9879389762751002,1.121669175869537,1.0620966738103343,1.9174703558632378,1.427188050909256,0.8361830445623508,0.18351716869578003,12.431220147923218,49.92900438622271,0.05807412160973048
2022-10-11,1346.6776253383177,0.09163597010696048,0.32050667612098177,11.093527431740679,0.9992790335359987,0.3213040948447773,0.692121409605824,0.0319380660395099,2.1268557538875705,56.645016257462,0.9991556422307764,1.0354241890833504,1.019929576779197,1.767902109579497,1.3724288753907983,0.8089731083326006,0.18380981818751657,11.972288707530659,48.070964703106505,0.05702015705885362
