timestamp,bitcoin_closeprice,ethereum_closeprice,tether_closeprice,binancecoin_closeprice,ripple_closeprice,staked-ether_closeprice,solana_closeprice,cardano_closeprice,dogecoin_closeprice,tron_closeprice,rocket-pool-eth_closeprice,the-graph_closeprice,algorand_closeprice,whitebit_closeprice,usdd_closeprice,blockstack_closeprice,immutable-x_closeprice,xdce-crowd-sale_closeprice,havven_closeprice,elrond-erd-2_closeprice,frax_closeprice,eos_closeprice,theta-token_closeprice,injective-protocol_closeprice,tezos_closeprice,the-sandbox_closeprice,bitget-token_closeprice,axie-infinity_closeprice,bitcoin-cash-sv_closeprice,radix_closeprice
2022-09-28,19116.331160710437,1331.1501769338627,1.0006753044546857,272.5502043464818,0.44973875957430093,1327.688712191161,32.76612155979491,0.44253493225850365,0.060660066367218476,0.05947218540119678,1383.8038011668405,0.09972403096873257,0.354013429918779,4.053502126672583,1.0014743056553341,0.331152127452328,0.7446958592260338,0.029282617143040042,2.2672535062120756,46.65357558427678,0.9982164479687715,1.1572836313931048,1.0911101011358695,1.7472184688969221,1.4491977356303458,0.8474310687163827,0.1922437822431626,12.388524401340751,49.83680341391052,0.059472072252112596
2022-09-29,19444.787771362975,1340.0230594816517,1.0016855666339106,281.35816084815264,0.4523199977661284,1335.9609187557044,33.303299964397056,0.4384459040360633,0.06082432475485882,0.059755423574499915,1393.5307704663135,0.09916915593796287,0.35046332177212497,5.878442188368847,1.002628515948015,0.3270335814681587,0.7455086321277914,0.02936526469708778,2.4522292000288695,47.39117242559089,1.0027075257625355,1.1524890039774731,1.0972350600847274,1.7115545096305353,1.4413720336560738,0.8493568674837987,0.1931434538316591,12.555273710967967,49.95318694812596,0.060926915317286744
2022-09-30,19563.765161776904,1335.7389706335669,0.9999827356842071,283.74872314150554,0.48549735837132674,1330.0908854967865,33.93599567295436,0.43797701610059775,0.060749245415840515,0.061010678818430614,1382.9068599780487,0.09930395603542931,0.3551475416157027,5.879988425023954,1.00386127734269,0.3280271016834833,0.7583966642092682,0.03107140333381679,2.423218111959549,47.83277329127359,0.9993426800852365,1.2064156639407382,1.0925167962406737,1.6806085750992086,1.438912403651638,0.8522284745583252,0.19216524515690128,12.749843596481274,49.45779453192521,0.060041633886708516
2022-10-01,19476.92659600407,1329.1460320707963,1.0008682490919651,284.0074317083427,0.48018560714113456,1326.8041705348116,33.24966351604033,0.4344260555443908,0.0617204076127507,0.06115072481971446,1382.1094072890046,0.0989905821134674,0.35305423977176836,10.382280362132112,1.0015338091644381,0.3249981497116093,0.7582237531067193,0.031218440360815003,2.376606388960047,47.54532243582342,0.9995174925398529,1.1825549665756212,1.0755450744873125,1.7021216394189422,1.4242640267749744,0.8450266756677777,0.1881370222537336,12.583949384841981,49.02831394155846,0.060260197326297456
2022-10-02,19314.463835217448,1311.2633244162857,1.000525820081537,282.86981249850436,0.47496133042485,1308.8675292884707,32.45579081734204,0.43090750125091737,0.06068022313356646,0.06052338167037034,1364.8800393322776,0.09802722189514973,0.3550942752621902,10.780270311435501,0.9998314431754676,0.32328199711654876,0.7590125189782164,0.03173710795362989,2.3162718027643345,47.942524981831255,0.9943874837854683,1.2208258351163332,1.0621294204098155,1.651653815902904,1.4170981808626602,0.8370970985633729,0.18485828089336093,12.58488832221418,48.33988698838707,0.06049297043332806
2022-10-03,19065.153837148988,1277.901345279672,1.0019758689613976,284.943142563058,0.45025632995366566,1274.8521850826653,32.09702548893108,0.4203358263307138,0.05933087885697404,0.06098041931913766,1327.5029284787795,0.0949736351687594,0.3556648336101502,11.159412672285091,1.0010111017320915,0.3174747313734241,0.7449136635050533,0.031218461214209396,2.219176793071191,48.28866516635685,0.9975486502420828,1.160895092147014,1.0319611876702592,1.5691648086257335,1.3788391437995318,0.8149739802055866,0.18556511301605555,12.179458732065982,47.84646395798225,0.05996102619283707
2022-10-04,19620.567543591394,1323.5040179722914,0.9999689833860179,287.0239733773218,0.46261651515402924,1315.699798413342,32.9839333048039,0.4284228844078707,0.0603553042856688,0.06138891770815971,1377.63898128507,0.09825851175500065,0.35551678472646375,11.597536588796634,0.9997685369017847,0.3223148827745178,0.7692270178846862,0.03069803141914456,2.3031927756629935,52.07465342680597,0.9975073304972162,1.1897601768355854,1.0668924210848592,1.71963172072254,1.4433212308096852,0.832182023814054,0.18582890686517217,12.672653523937983,48.54498451467085,0.059853333718632926
2022-10-05,20345.398520106643,1363.2371821945037,1.0001903996024886,296.4786138635916,0.48035597545822456,1356.0664457223359,34.12979146381925,0.4364116140393047,0.06614452695889554,0.06236867505732151,1417.740116265663,0.10121020499370742,0.3581013009823488,11.618336368345782,0.999557545028018,0.33050761983997684,0.799302212538936,0.03093391172718258,2.339932862040992,55.27288385616054,1.0009939420416252,1.2005310292993854,1.0836901158310994,1.8069439600856694,1.4597096804389436,0.8511980422962148,0.18600092349816355,13.013789334041183,49.189333449552564,0.0617566954060208
2022-10-06,20161.830614985047,1352.5865243024869,0.9998863883696085,293.994765712581,0.49018876836815045,1346.064719792792,34.09322257643218,0.4314549067842627,0.06463786796068743,0.062426570903116395,1407.5931367615008,0.10045855051954146,0.35428936743705763,11.867350322035849,0.9987281449192682,0.3274939526499118,0.7867980631491407,0.02978619348797815,2.3282554904515815,54.32494854122208,0.996535712315321,1.1749156639360352,1.0893743234576934,1.9118475494639817,1.4299677258003078,0.8619294631324661,0.18351345419100598,12.762571435610475,49.48537401260982,0.0608297680891508
2022-10-07,19949.051041418512,1351.4273691979538,1.000209876870579,284.6831470938366,0.4935510217263323,1345.285301263207,33.33775389191098,0.42899113631463637,0.06350032855491405,0.06276193294272318,1409.0007061197723,0.09963529734393538,0.34945130608028746,11.164322949516418,1.0008773535195143,0.3241475110244433,0.7601431694308257,0.031088349112870263,2.2553546922766583,55.376517716914016,1.0009630135744347,1.155585181085188,1.0754297535097994,1.8331696876629775,1.4310198754181314,0.8417897983259578,0.18230816797314245,12.687980167267877,48.61111563246334,0.06082385833829527
